,type,2nd type,3rd type,Source Notes (things to know?),,,Investigated?,
conservativedailypost.com,fake,unreliable,,This website is a weird mix of outright fake news and some stuff that looks more reliable. ,conservativedailypost,NewsExaminer,FALSE,
conservativefighters.com,fake,,,,,,,
conservativefiringline.com,bias,conspiracy,clickbait,,,,,
conservativefrontline.com,unknown,,,website down,,,,
conservativeheadlines.com,unknown,,,website down,,,,
conservativehq.com,bias,,,http://conservativehq.com/article/24945-f-bomb-opposition-president-trump,,,,
conservativeinfidel.com,fake,conspiracy,,,,,,
conservativeoutfitters.com,unreliable,clickbait,,,conservativeoutfitters,News-Hound.com,TRUE,
conservativepapers.com,bias,,,"incorrect/uncited data, citing other sources labeled as bias",,,,
conservativerefocus.com,conspiracy,,,,,,,
conservativereview.com,political,,,,,,,
conservativespirit.com,bias,,,,,,,
conservativestate.com,bias,,,"links to other borderline fake, but mostly just propagandistic websites",,,,
conservativetribune.com,bias,conspiracy,unreliable,,,,,
consortiumnews.com,reliable,,,The authors on this website are pretty reliable and the articles appear well researched,consortiumnews,Newslo,FALSE,
conspiracyplanet.com,conspiracy,,,,,,,
conspiracywire.com,conspiracy,,,,conspiracywire,NewsMutiny.com,TRUE,
corbettreport.com,conspiracy,bias,,,,,,
corbettreport.com,conspiracy,,,,corbettreport,Newswatch,FALSE,
countdowntozerotime.com,conspiracy, ,,,,,TRUE,
countercurrentnews.com,bias,,,,,,,
countercurrents.org,political,unreliable,,This site is pretty explicit about it's p.o.v. and is coming from a political perspective but doesn't fit under how we are defining 'bias',countercurrents,Now8News,FALSE,
counterinformation.wordpress.com,political,,,,counterinformation,NowTheEndBegins.com,FALSE,
counterjihad.com,bias,,,,,,,
counterpsyops.com,conspiracy,,,,counterpsyops,OccupyDemocrats,TRUE,
counterpunch.com,political,,,explicit POV - legit authors,counterpunch,PakAlertPress.com,FALSE,
counterpunch.org,political,,,explicit POV - legit authors,counterpunch,PoliticalBlindSpot.com,FALSE,
cowgernation.com,bias,conspiracy,,,,,,
creambmp.com,satire,fake,,,creambmp,PoliticalEars.com,TRUE,
cryptogon.com,conspiracy,unreliable,,copy-pasted commentary from various news & 'news' sources,,,,
crystalair.com,satire,,,redirects to http://www.cap-news.com/,crystalair,Politicalo,FALSE,
dailybuzzlive.com,fake,,,,dailybuzzlive,PrisonPlanet.com,TRUE,
dailycaller.com,political,clickbait,bias,a weird mix of info. they link to extremely biased sites (as sources) and more reliable/balanced sources,,,,
dailycurrant.com,satire,,,,dailycurrant,PrisonPlanet.tv,TRUE,
dailydiscord.com,satire,,,,,,,
dailyheadlines.com,fake, ,,,,,,
dailyheadlines.net,fake, ,,,,,,
dailyken.com,hate,,,,,,,
dailykos.com,political,clickbait, ,,,,,
dailyleak.org,parody,fake,,,dailyleak,*WebsiteRemoved*(temporarily),FALSE,
dailynewsbin.com,bias,clickbait,,,,, ,
dailynewspolitic.com,unknown,,,domain for sale,,,,
dailyoccupation.com,conspiracy,bias,,,dailyoccupation,RealNewsRightNow.com,FALSE,
dailypolitics.info,unknown,,,website now down,dailypolitics,RedFlagNews.com,FALSE,
dailypoliticsusa.com,bias,,,,dailypoliticsusa,RedState,FALSE,
dailysignal.com,bias,,,,,, ,
dailysquib.co.uk,satire,,,,dailysquib,Reductress,FALSE,
dailystormer.com,hate,conspiracy,bias,pretty well known neo-nazi site,dailystormer,RileNews.com,FALSE,
dailytelegraph.com.au,bias,rumor,,australian tabloid mag,,,,
dailywire.com,bias,,,,dailywire,SatiraTribune,TRUE,
dandygoat.com,satire,,,,,,,
darkmoon.me,hate,bias,,,darkmoon,Sprotspickle.com,FALSE,
darkpolitricks.com,bias,conspiracy,,,darkpolitricks,TheBlaze,FALSE,
dataasylum.com,conspiracy,junksci,,,,,,
DaveJanda.com,unreliable,,,,,,,
davidduke.com,hate,,,,davidduke,TheFreeThoughtProject,FALSE,
davidstockmanscontracorner.com,political,,,,davidstockmanscontracorner,BorowitzReport,FALSE,
davidwolfe.com,conspiracy,,,,davidwolfe,TheOnion,FALSE,
dcclothesline.com,conspiracy,junkscience,,,dcclothesline,TheOther98%,TRUE,
dcgazette.com,fake,,,,dcgazette,TheReporterz,TRUE,
dcleaks.com,unreliable,,,,dcleaks,TheStatelyHarold,FALSE,
DeadLineLive.info,political,conspiracy,,,,,,
DeadlyClear.wordpress.com,bias,fake news,,"Not a personal website, owned by Project Maui, Inc. Makes unverifiable extraordinary claims, seems to be advertising for lawyers with a history of legal reprimands.",,,,
debunkingskeptics.com,bias,conspiracy,,Science doesn't mean what they think it means,,,,
defenddemocracy.press,bias,political,,"editorial board as stated on about us seem to be legitimate academics, and originally authored content byline are academics, although not able to find a clear link between edu pages and these authors' work on this website. Many 3rd party articles are linked, sources provided. These articles are aggregated from other more clearly biased sites i.e. world socialist web site (wswg.org), rt.com, sputniknews.com.",defenddemocracy,TheDailySheeple.com,FALSE,
delectabledietofpics.net,unknown,,,website now down,delectabledietofpics,TheNewsNerd.com,FALSE,
dennismichaellynch.com,political,,,,dennismichaellynch,TheRunDownLive.com,FALSE,
denverguardian.com,fake,,,,,,,
departed.co,fake,,,redirects to dcposts.com ,departed,TheUsPatriot.com,FALSE,
der-postillon.com,satire,,,German language site,der-postillon,TruthFrequencyRadio.com,FALSE,
derfmagazine.com,satire,,,,derfmagazine,Twitchy.com,TRUE,
dineal.com,junksci,,,,dineal,UnconfirmedSources.com,FALSE,
disclose.tv,satire,conspiracy,,,disclose,*WebsiteRemoved*(temporarily),FALSE,
disclosuremedia.net,conspiracy,,,,disclosuremedia,USASupreme,FALSE,
dissentmagazine.org,political,,,,,,,
diversitychronicle.wordpress.com,satire,,,self-labled: https://diversitychronicle.wordpress.com/disclaimer/ ,diversitychronicle,US.Blasting.News,FALSE,
DollarVigilante.com,bias,,,anarcho-capitalist blog,,,,
donaldtrumpnews.co,fake,,,,,,,
Dont-Tread-On.Me,conspiracy,,,doesn't seem to be updating anymore,,,,
downtrend.com,fake,satire,,,,,,
DProgram.net,unknown,,,website down,,,,
drrichswier.com,hate,bias,,,,,,
drudgereport.com,political,bias,,,drudgereport,WakingUpWisconsin.com,FALSE,
drudgereport.com.co,fake,,,,drudgereport,"*WebsiteRemoved*
(temporarily)",FALSE,
duffleblog.com,satire,,,,duffleblog,WinningDemocrats,FALSE,
duhprogressive.com,satire,,,,duhprogressive,WitScience.org,TRUE,
Dutchsinse.com,conspiracy,,,weather control,,,,
EagleRising.com,bias,clickbait,,,,,,
EbolaHoax.com,conspiracy,,,domain for sale,,,,
economicnoise.com,political,unreliable,,"sites some problematic sources, like CNS news",,,,
ecowatch.com,political,,,"this site claims junksci, but I read over a dozen articles w/o finding any. probably should re-check soon https://mediabiasfactcheck.com/ecowatch/",,,,
educate-yourself.org,conspiracy,junksci,,,educate-yourself,WorldNewsDailyReport,FALSE,
educateinspirechange.org/health,clickbait,junksci,,,educateinspirechange,WorldTruth.tv,FALSE,
electionnightgatekeepers.com,conspiracy,unreliable,,,,, ,
elelephantintheroom.blogspot.com,bias,,,,elelephantintheroom,ZeroHedge,FALSE,
elitereaders.com,clickbait,,,,elitereaders,,FALSE,
elkoshary.com,satire,,,About Me notes that it's not fake/satirical news,elkoshary,,FALSE,
elmundotoday.com,satire,,,About Me notes that it's not fake/satirical news,elmundotoday,,FALSE,
embols.com,fake,,,,embols,,TRUE,
empireherald.com,fake,satire,,,empireherald,,TRUE,
empirenews.net,fake,satire,,,empirenews,,FALSE,
empiresports.co,satire,,,About Me notes that it's not fake/satirical news,empiresports,,FALSE,
Emptywheel.net,political,,,commentary on current events/news,,,,
enabon.com,fake,,,"No authors, no contact, just copy/pasted from other questionable sites",enabon,,FALSE,
endingthefed.com,bias, ,,,endingthefed,,TRUE,
endoftheamericandream.com,Conspiracy,Fake,Political,Traffics in religious conspiracy theories and poorly sourced pro-Trump propaganda,endoftheamericandream,,FALSE,
endtime.com,bias,clickbait,Political,Not sure about this one. zany religious prophecy/not really conspiracy,endtime,,FALSE,"I would classify this as ""religious clickbait,"" with all of its reporting coming through a fundamentalist Christian filter-- thus the ""extreme bias."""
enduringvision.com,fake,,,,enduringvision,,TRUE,
english.ruvr.ru,unknown,,,redirects to https://sputniknews.com/ ,english,,FALSE,
EUTimes.net,hate,conspiracy,,,,,,
eutopia.buzz,fake,satire,conspiracy,,eutopia,,FALSE,
everydayworldnews.com,unknown,,,website down,everydayworldnews,,FALSE,
everythingnewdaily.com,unknown,,,website down,everythingnewdaily,,FALSE,
ewao.com,junksci,,,,ewao,,FALSE,
ExperimentalVaccines.org,junksci,conspiracy,,,,,,
Expose1933.com,conspiracy,hate,,"references to ""white genocide"" and ""race mixing""",,,,
express.co.uk,rumor,,,well-known tabloid,,,,
extraclubmagazine.com,bias,clickbait,fake,vacillates between outright fake and misleading stories,extraclubmagazine,,FALSE,
eyeopening.info,conspiracy,junksci,,,eyeopening,,FALSE,
fakingnews.com,fake,satire,,fiction disclaimer on bottom of home screen ,fakingnews,,FALSE,
familysecuritymatters.org,conspiracy,bias,,,,,,
fantasticword.com,unknown,,,website down?,fantasticword,,FALSE,"website down, or at least parked"
FarmWars.info,fake news,conspiracy,,"Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this.",,,,
federalistpress.com,bias,,,,federalistpress,,FALSE,
fellowshipoftheminds.com,conspiracy,junksci,,,fellowshipoftheminds,,FALSE,
filmsforaction.org,political,,,,filmsforaction,,FALSE,
FinancialSurvivalNetwork.com,unreliable,bias,,,,,,
firearmscoalition.org,bias,blog,,"A single-issue blog, it hasn't been updated since August 2016. It talks about guns, has lots of dead links, and has trouble distinguishing between legitimate and illegitimate sources.",,,,
floridasunpost.com,fake,satirical,,I concur: http://mashable.com/2016/10/03/fake-news-story-man-marries-granddaughter/#QvpAzP.e8Oqb ,floridasunpost,,FALSE,
flyheight.com,unknown,,,aggregator of actual and potentially altered videos,flyheight,,FALSE,
fmobserver.com,satire,,,,,,,
fognews.ru,satire,,,site contains satire disclaimer,fognews,,FALSE,
foodbabe.com,junksci,,,,foodbabe,,FALSE,
foreignpolicyjournal.com,political,,,legit source coming from a political perspective,foreignpolicyjournal,,FALSE,
fort-russ.com,unknown,,,website down,fort-russ,,FALSE,
fourwinds10.net,conspiracy,junksci,,,fourwinds10,,FALSE,
fprnradio.com,conspiracy,fake,,,fprnradio,,TRUE,
freakoutnation.com,bias,,,,,,,
FreeBeacon.com,bias,,,,,,,
freedomdaily.com,fake,,,,,,,
FreedomForceInternational.com,conspiracy,,,global warming denial,,,,
freedomoutpost.com,conspiracy,bias, ,,freedomoutpost,,FALSE,
FreedomsPhoenix.com,bias,conspiracy,,,,,,
freedomworks.org,political,,,,,,,
freedomworldnews.com,bias,unreliable,,,,,,
freepatriot.org,satire,,,site contains satire disclaimer ,freewoodpost,,FALSE,
freewoodpost.com,satire,,,,,,,
fridaymash.com,satire,,,,,,,
fromthetrenchesworldreport.com,conspiracy,junksci,bias,,fromthetrenchesworldreport,,FALSE,
frontpagemag.com,bias,hate,,Part of David Horowitz' Freedom Center,frontpagemag,,FALSE,
fusion.net,political,reliable,,website contains some satire ,,, ,
gaia.com,conspiracy,junksci,,,gaia,,FALSE,
galacticconnection.com,junksci,,,,galacticconnection,,FALSE,
gangstergovernment.com,conspiracy,bias,,,gangstergovernment,,FALSE,
gatesofvienna.net,hate,conspiracy,,,gatesofvienna,,FALSE,
geoengineeringwatch.org,junksci,conspiracy,,,geoengineeringwatch,,TRUE,
geopolmonitor.com,political,,,this website is tricky (in terms of writers using some interesting frames/language). def could use a second analysis.,geopolmonitor,,FALSE,
glaringhypocrisy.com,hate,conspiracy,,"references to ""Jew World Order""",,,,
GlobalEconomicAnalysis.com,unknown,,,website down 1/27,,,,
globalresearch.ca,conspiracy,,,,globalresearch,,FALSE,
glossynews.com,satire,,,,,,,
godlikeproductions.com,conspiracy,,,,godlikeproductions,,FALSE,
gomerblog.com,satire,,,site contains satire disclaimer ,gomerblog,,FALSE,
goneleft.com,fake,,,,,,,
GonzaloLira.Blogspot.com,unknown,,,blog is invite only,,,,
gopthedailydose.com,fake,conspiracy,bias,,,,,
govtslaves.info,conspiracy,,,,govtslaves,,TRUE,
greanvillepost.com,conspiracy,,, ,greanvillepost,,FALSE,
GreenMedInfo.com,junksci,,,,,,,
guardianlv.com,political,,,,guardianlv,,FALSE,
guccifer2.wordpress.com,unreliable,,,,guccifer2,,FALSE,
gulagbound.com,bias, ,,,gulagbound,,TRUE,
hangthebankers.com,conspiracy, ,,,hangthebankers,,TRUE,
healthimpactnews.com,junksci,bias,,,healthimpactnews,,FALSE,
healthnutnews.com,junksci,,,,healthnutnews,,FALSE,
healthy-holistic-living.com,junksci,clickbait,,,,,,
heartland.org,bias,,,http://www.sourcewatch.org/index.php/Heartland_Institute,,,,
heatst.com,clickbait,bias,,,,,,
henrymakow.com,conspiracy, ,,,henrymakow,,FALSE,
heresyblog.net,bias,conspiracy,rumor,,heresyblog,,FALSE,
heritage.org,political,,,,,,,
holyobserver.com,satire,,,,holyobserver,,FALSE,
horowitzfreedomcenter.org,bias,,,,,,,
humansarefree.com,conspiracy,,,,humansarefree,,TRUE,
humortimes.com,satire,,,,,,,
huzlers.com,satire,,,,huzlers,,TRUE,
icr.org,junksci,,,,,,,
ifyouonlynews.com,unreliable,satire,,,ifyouonlynews,,TRUE,
igrewupinusa.info,unknown,,,,,,,
ihavethetruth.com,bias,clickbait,fake,,ihavethetruth,,FALSE,
ijr.com,political,bias,unreliable,,ijr,,TRUE,
illuminati-news.com,conspiracy,,,,,,,
ilovemyfreedom.org,bias,clickbait,,,,,,
immediatesafety.org,fake,,,https://immediatesafety.org/dnc-to-hand-debbie-wasserman-schultz-over-to-isis-for-beheadding/,,,,
in5d.com,junksci,,,,in5d,,FALSE,
indiaarising.com,clickbait,unreliable,,,indiaarising,,FALSE,
infiniteunknown.net,conspiracy,,,"""9/11 was an inside job""",,,,
