,type,2nd type,3rd type,Source Notes (things to know?),,,,
dailysquib.co.uk,satire,,,,,,,
dailystormer.com,hate,conspiracy,bias,pretty well known neo-nazi site,,,,
dailytelegraph.com.au,bias,rumor,,australian tabloid mag,,,,
dailywire.com,bias,,,,,,,
dandygoat.com,satire,,,,,,,
darkmoon.me,hate,bias,,,,,,
darkpolitricks.com,bias,conspiracy,,,,,,
dataasylum.com,conspiracy,junksci,,,,,,
DaveJanda.com,unreliable,,,,,,,
davidduke.com,hate,,,,,,,
davidstockmanscontracorner.com,political,,,,,,,
davidwolfe.com,conspiracy,,,,,,,
dcclothesline.com,conspiracy,junkscience,,,,,,
dcgazette.com,fake,,,,,,,
dcleaks.com,unreliable,,,,,,,
DeadLineLive.info,political,conspiracy,,,,,,
DeadlyClear.wordpress.com,unknown,,,personal blog that comments on news stories and blog posts,,,,
debunkingskeptics.com,unknown,,,website down,,,,
defenddemocracy.press,bias,political,,"editorial board as stated on about us seem to be legitimate academics, and originally authored content byline are academics, although not able to find a clear link between edu pages and these authors' work on this website. Many 3rd party articles are linked, sources provided. These articles are aggregated from other more clearly biased sites i.e. world socialist web site (wswg.org), rt.com, sputniknews.com.",,,,
delectabledietofpics.net,unknown,,,website now down,,,,
dennismichaellynch.com,political,,,,,,,
denverguardian.com,fake,,,,,,,
departed.co,fake,,,redircts to dcposts.com ,,,,
der-postillon.com,satire,,,German language site,,,,
derfmagazine.com,satire,,,,,,,
dineal.com,junksci,,,,,,,
disclose.tv,satire,conspiracy,,,,,,
disclosuremedia.net,conspiracy,,,,,,,
dissentmagazine.org,political,,,,,,,
diversitychronicle.wordpress.com,satire,,,self-labled: https://diversitychronicle.wordpress.com/disclaimer/ ,,,,
DollarVigilante.com,bias,,,anarcho-capitalist blog,,,,
donaldtrumpnews.co,fake,,,,,,,
Dont-Tread-On.Me,conspiracy,,,doesn't seem to be updating anymore,,,,
downtrend.com,fake,satire,,,,,,
DProgram.net,unknown,,,website down,,,,
drudgereport.com,political,bias,,,,,,
drudgereport.com.co,fake,,,,,,,
duffleblog.com,satire,,,,,,,
duhprogressive.com,satire,,,,,,,
Dutchsinse.com,conspiracy,,,weather control,,,,
EagleRising.com,bias,clickbait,,,,,,
EbolaHoax.com,conspiracy,,,domain for sale,,,,
economicnoise.com,political,unreliable,,"sites some problematic sources, like CNS news",,,,
ecowatch.com,political,,,"this site claims junksci, but I read over a dozen articles w/o finding any. probably should re-check soon https://mediabiasfactcheck.com/ecowatch/",,,,
educate-yourself.org,conspiracy,junksci,,,,,,
educateinspirechange.org/health,clickbait,junksci,,,,,,
electionnightgatekeepers.com,conspiracy,unreliable,,,,,,
elelephantintheroom.blogspot.com,bias,,,,,,,
elitereaders.com,clickbait,,,,,,,
elkoshary.com,satire,,,About Me notes that it's not fake/satirical news,,,,
elmundotoday.com,satire,,,About Me notes that it's not fake/satirical news,,,,
embols.com,fake,,,,,,,
empireherald.com,fake,satire,,,,,,
empirenews.net,fake,satire,,,,,,
empiresports.co,satire,,,About Me notes that it's not fake/satirical news,,,,
Emptywheel.net,political,,,commentary on current events/news,,,,
enabon.com,fake,,,"No authors, no contact, just copy/pasted from other questionable sites",,,,
endingthefed.com,bias, ,,,,,,
endoftheamericandream.com,unknown,,,website down,,,,
endtime.com,unknown,,,Not sure about this one. zany religious prophecy/not really conspiracy,,,,
enduringvision.com,fake,,,,,,,
english.ruvr.ru,unknown,,,redirects to https://sputniknews.com/ ,,,,
EUTimes.net,hate,conspiracy,,,,,,
eutopia.buzz,fake,satire,conspiracy,,,,,
everydayworldnews.com,unknown,,,website down,,,,
everythingnewdaily.com,unknown,,,website down,,,,
ewao.com,junksci,,,,,,,
ExperimentalVaccines.org,junksci,conspiracy,,,,,,
Expose1933.com,conspiracy,hate,,"references to ""white genocide"" and ""race mixing""",,,,
express.co.uk,rumor,,,well-known tabloid,,,,
extraclubmagazine.com,bias,clickbait,fake,vacillates between outright fake and misleading stories,,,,
eyeopening.info,conspiracy,junksci,,,,,,
fakingnews.com,fake ,satire,,fiction disclaimer on bottom of home screen ,,,,
familysecuritymatters.org,conspiracy,bias,,,,,,
fantasticword.com,unknown,,,website down?,,,,
FarmWars.info,unknown,,,,,,,
federalistpress.com,bias,,,,,,,
fellowshipoftheminds.com,conspiracy,junksci,,,,,,
filmsforaction.org,political,,,,,,,
FinancialSurvivalNetwork.com,unreliable,bias,,,,,,
firearmscoalition.org,unknown,,,,,,,
floridasunpost.com,fake,satirical ,,I concur: http://mashable.com/2016/10/03/fake-news-story-man-marries-granddaughter/#QvpAzP.e8Oqb ,,,,
flyheight.com,unknown,,,aggregator of actual and potentially altered videos,,,,
fmobserver.com,satire,,,,,,,
fognews.ru,satire,,,site contains satire disclaimer,,,,
foodbabe.com,junksci,,,,,,,
foreignpolicyjournal.com,political,,,legit source coming from a political perspective,,,,
fort-russ.com,unknown,,,website down,,,,
fourwinds10.net,conspiracy,junksci,,,,,,
fprnradio.com,conspiracy,fake,,,,,,
freakoutnation.com,bias,,,,,,,
FreeBeacon.com,bias,,,,,,,
freedomdaily.com,fake,,,,,,,
FreedomForceInternational.com,conspiracy,,,global warming denial,,,,
freedomoutpost.com,conspiracy,bias, ,,,,,
FreedomsPhoenix.com,bias,conspiracy,,,,,,
freedomworks.org,political,,,,,,,
freedomworldnews.com,bias,unreliable,,,,,,
freepatriot.org,satire,,,site contains satire disclaimer ,,,,
freewoodpost.com,satire,,,,,,,
fridaymash.com,satire,,,,,,,
fromthetrenchesworldreport.com,conspiracy,junksci,bias,,,,,
frontpagemag.com,bias,hate,,Part of David Horowitz' Freedom Center,,,,
fusion.net,political,credible,,website contains some satire ,,,,
gaia.com,conspiracy,junksci,,,,,,
galacticconnection.com,junksci,,,,,,,
gangstergovernment.com,conspiracy,bias,,,,,,
gatesofvienna.net,hate,conspiracy,,,,,,
geoengineeringwatch.org,junksci,conspiracy,,,,,,
geopolmonitor.com,political,,,this website is tricky (in terms of writers using some interesting frames/language). def could use a second analysis.,,,,
glaringhypocrisy.com,hate,conspiracy,,"references to ""Jew World Order""",,,,
GlobalEconomicAnalysis.com,unknown,,,website down 1/27,,,,
globalresearch.ca,conspiracy,,,,,,,
glossynews.com,satire,,,,,,,
godlikeproductions.com,conspiracy,,,,,,,
gomerblog.com,satire,,,site contains satire disclaimer ,,,,
goneleft.com,fake,,,,,,,
GonzaloLira.Blogspot.com,unknown,,,blog is invite only,,,,
gopthedailydose.com,fake,conspiracy,bias,,,,,
govtslaves.info,conspiracy,,,,,,,
greanvillepost.com,conspiracy,,, ,,,,
GreenMedInfo.com,junksci,,,,,,,
guardianlv.com,political,,,,,,,
guccifer2.wordpress.com,unreliable,,,,,,,
gulagbound.com,bias, ,,,,,,
hangthebankers.com,conspiracy,,,,,,,
healthimpactnews.com,junksci,bias,,,,,,
healthnutnews.com,junksci,,,,,,,
healthy-holistic-living.com,junksci,clickbait,,,,,,
heartland.org,bias,,,http://www.sourcewatch.org/index.php/Heartland_Institute,,,,
heatst.com,clickbait,bias,,,,,,
henrymakow.com,conspiracy, ,,,,,,
heresyblog.net,bias,conspiracy,rumor,,,,,
holyobserver.com,satire,,,,,,,
humansarefree.com,conspiracy,,,,,,,
humortimes.com,satire,,,,,,,
huzlers.com,satire,,,,,,,
ifyouonlynews.com,unreliable,satire,,,,,,
ihavethetruth.com,bias,clickbait,fake,,,,,
ijr.com,bias,unreliable,,,,,,
ilovemyfreedom.org,bias,clickbait,,,,,,
immediatesafety.org,fake,,,https://immediatesafety.org/dnc-to-hand-debbie-wasserman-schultz-over-to-isis-for-beheadding/,,,,
in5d.com,junksci,,,,,,,
indiaarising.com,clickbait,unreliable,,,,,,
informationclearinghouse.info,conspiracy,unreliable,,,,,,
informetoday.com,bias,unreliable,,,,,,
infostormer.com,fake,hate,conspiracy,,,,,
infowars.com,conspiracy,,,,,,,
instaworldnews.com,bias,,,,,,,
intellihub.com,conspiracy,unreliable,,,,,,
intrendtoday.com,fake,clickbait,,,,,,
intrepidreport.com,bias,,,,,,,
investmentresearchdynamics.com,conspiracy,,,,,,,
investmentwatchblog.com,bias,fake,,,,,,
ironictimes.com,satire,,,,,,,
islamicanews.com,satire,,,,,,,
itaglive.com,fake,,,,,,,
ItMakesSenseBlog.com,fake,,,,,,,
iwanttoexplore.com,fake,,,mostly turned back into car website,,,,
jackpineradicals.com,political,,,left wing discussion site,,,,
jacobinmag.com,political,,,,,,,
jamesrgrangerjr.com,bias,,,,,,,
jesus-is-savior.com,conspiracy,,,,,,,
jewsnews.co.il,unreliable,bias,clickbait,,,,,
johnnyrobish.com,satire,,,,,,,
jonesreport.com,conspiracy ,,,,,,,
journal-neo.org,bias,,,,,,,
katehon.com,bias,,,,,,,
katehon.org,unknown,,,"russian version of katehon.com? (I think so, but i can't get a read on this one- mz)",,,,
landoverbaptist.org,satire,,,,,,,
learnprogress.org,fake,bias,,http://www.learnprogress.org/white-house-website-sell-jewelry/,,,,
legorafi.fr,unknown,,,in French,,,,
lewrockwell.com,bias,unreliable,,,,,,
liberalamerica.org,clickbait,bias,,,,,,
liberalbias.com,satire,,,,,,,
liberaldarkness.com,satire,fake,,,,,,
libertyblitzkrieg.com,fake,,,,,,,
libertyfederation.com,hate,,,,,,,
libertymovementradio.com,conspiracy,,,,,,,
libertynews.com,unreliable,bias,,,,,,
libertytalk.fm,conspiracy,,,,,,,
libertyunyielding.com,bias,,,,,,,
libertyvideos.org,conspiracy,,,,,,,
libertywritersnews.com,clickbait,bias,unreliable,,,,,
lifeandabout.com,bias,,,,,,,
lifenews.com,bias,clickbait,,,,,,
lifeprevention.com,junksci,,,,,,,
lifesitenews.com,clickbait,bias,,,,,,
lifezette.com,clickbait,,,,,,,
lightlybraisedturnip.com,unknown,,,in German,,,,
liveactionnews.org,bias,,,,,,,
livefreelivenatural.com,unknown,,,"*Malware Warning, did not navigate to site",,,,
livevote.com,clickbait,,,,,,,
lovethispic.com,clickbait,junksci,,,,,,
lushforlife.com,satire,,,,,,,
madpatriots.com,unreliable,clickbait,,,,,,
madworldnews.com,unreliable,hate,,,,,,
madworldnews.com,unreliable,clickbait,,,,,,
magafeed.com,rumor,bias,,"""god/emperor"" category for trump",,,,
makeamericagreattoday.com,bias,fake,,,,,,
mediamass.net,fake,,,,,,,
mediazone.news,rumor,unreliable,,,,,,
megafreshnews.com,rumor,,,,,,,
megynkelly.us,fake,,,,,,,
militianews.com,conspiracy,bias,hate,,,,,
mintpressnews.com,political,,,legit source form a political perspective,,,,
moonofalabama.org,bias,,,,,,,
morningnewsusa.com,unreliable,,,"stories seem to originate from real news, but are somewhat clickbait-y and sources are not cited",,,,
mpidailymagazine.com,fake,bias,,,,,,
mrconservative.com,fake,satire,,,,,,
msnbc.website,fake,,,,,,,
mydailyrelaxation.com,unknown,,,server not found,,,,
myfreshnews.com,fake,bias,,found linked from iwanttoexplore.com,,,,
myzonetoday.com,fake,bias,,,,,,
nahadaily.com,satire,,,,,,,
nakedcapitalism.com,political,,,"commentary on finance, economics, politics and power",,,,
nationalreport.net,satire,fake,,,,,,
nationindistress.weebly.com,conspiracy,,,,,,,
nationonenews.com,fake,conspiracy,,,,,,
naturalblaze.com,junksci,conspiracy,,,,,,
naturalnews.com,junksci,conspiracy,,,,,,
nbc.com.co,fake,,,,,,,
nbcpolitics.org,unknown,,,website down?,,,,
nbcpoll.com,unknown,,,website down?,,,,
ncscooper.com,satire,,,,,,,
nevo.news,unreliable,bias,,,,,,
newcenturytimes.com,unreliable,bias,,,,,,
newcoldwar.org,political,,,"contains statement that site authors are ""independent, but not non-partisan"" (anti-war (Ukraine))",,,,
news4ktla.com,fake,satire,,,,,,
newsbbc.net,fake,,,,,,,
newsbiscuit.com,satire,,,http://www.newsbiscuit.com/about/disclaimer/ ,,,,
newsbreakers.org,satire,,,,,,,
newsbuzzdaily.com,fake,,,redirects to http://www.flyheight.com/ (12/14),,,,
newscenterusa.com,unknown,,,website down,,,,
newscorpse.com,bias,,,,,,,
newsexaminer.net,fake,satire, ,,,,,
newsfrompolitics.com,fake,,,,,,,
newslo.com,fake,,,redirects to http://politicops.com/ (12/2),,,,
Newsmax.com,unreliable,bias,,,,,,
newsmutiny.com,satire,fake,,,,,,
newsninja2012.com,bias, ,,,,,,
newsopening.com,unknown,,,website down,,,,
newstarget.com,conspiracy,,,,,,,
newsthump.com,satire,,,site contains satire disclaimer,,,,
newstoad.net,satire,,,Tagline: The news they don't want you to hear. Because it isn't true.,,,,
newswatch28.com,fake,,,,,,,
newswatch33.com,fake,,,,,,,
newswire-24.com,rumor,unreliable,,,,,,
newswithviews.com,fake,conspiracy,,,,,,
newyorker.com/humor,satire,,,,,,,
nodisinfo.com,conspiracy,unreliable,,,,,,
NoMoreFakeNews.com,conspiracy,,,,,,,
northcrane.com,unreliable,,,,,,,
notallowedto.com,clickbait,fake,,,,,,
now8news.com,fake,,,,,,,
nowtheendbegins.com,conspiracy,,,,,,,
npiamerica.org,hate,bias,,white supremacist think tank,,,,
nutritionfacts.org,credible,,,"I read through several articles and the sources cited, and appears ok (maybe sometimes a little sensational... so if anyone has specific knowledge of this site and/or good examples of problems, feel free to link them here)",,,,
nymeta.co,clickbait,satire,,Entertainment website ,,,,
nyuzer.com,unknown,,,website domain for sale,,,,
objectiveministries.org,satire,,,,,,,
occupydemocrats.com,clickbait,bias,unreliable,,,,,
occupyliberals.com,bias,clickbait,,,,,,
odgossip.com,unknown,,,website domain for sale,,,,
off-guardian.org,bias,conspiracy,,,,,,
oftwominds.com,bias,conspiracy,,,,,,
oilgeopolitics.net,conspiracy,,,,,,,
onlineconservativepress.com,fake,conspiracy,bias,,,,,
opednews.com,unknown,,,website kept timing out. ,,,,
openmindmagazine.com,bias,conspiracy,,,,,,
orientalreview.org,bias,conspiracy,,,,,,
other98.com,clickbait,bias,unreliable,,,,,
pakalertpress.com,fake,,,,,,,
palmerreport.com,bias,,,,,,,
pamelageller.com,conspiracy,fake,bias,,,,,
patdollar.com,bias,clickbait,,,,,,
patriotchronicle.com,bias,clickbait,,,,,,
patriotnewsdaily.com,satire,,,,,,,
patriotnewsdaily.com,bias,,,,,,,
patriotrising.com,bias,conspiracy,,,,,,
patriotupdate.com,bias,conspiracy,,,,,,
paulcraigroberts.org,bias,conspiracy,,ex: http://www.paulcraigroberts.org/2016/12/10/has-liberty-departed-from-america-paul-craig-roberts/ ,,,,
platosguns.com,bias,conspiracy,bias,,,,,
politicalblindspot.com,conspiracy,junkscience,,ex: vaccines are a way for the CIA to spy on us,,,,
politicalcult.com,bias,clickbait,conspiracy,,,,,
politicalears.com,unreliable,clickbait,,,,,,
politicalo.com,fake, ,,,,,,
politicalsitenews.com,fake,,, ,,,,
politicaltimes.org,unknown,,,site that pops up is only Bluehost Web Hosting site link,,,,
politicalupdator.com,fake,clickbait,bias,,,,,
politicops.com,satire,fake,,redirects to Newslo,,,,
politicot.com,satire,fake,,redirects to Newslo,,,,
politicsbreaking.com,unknown,,,connection times out,,,,
politicsinformation.com,unknown,,,resource not found,,,,
politicsinfotoday.com,unknown,,,site not found,,,,
politicsintheusa.com,unreliable,bias,,,,,,
politicsinusa.com,unknown,,,website down,,,,
politicususa.com,clickbait,unreliable,,,,,,
powerpoliticians.com,unreliable,,,,,,,
pravda.ru,bias,rumor,conspiracy,,,,,
pravdareport.com,bias,rumor,conspiracy,redirects to pravda.ru,,,,
prepperwebsite.com,conspiracy,fake,,,,,,
presidentialvoting2016.com,political,bias,unreliable,,,,,
press24.us,unknown,,,site won't load past index page,,,,
presstv.com,bias,unreliable,,,,,,
presstv.ir,bias,unreliable,,redirects to presstv.com,,,,
prisonplanet.com,conspiracy,,,,,,,
prisonplanet.com,conspiracy,,,,,,,
prisonplanet.tv,conspiracy,,,,,,,
prntly.com,fake,,,,,,,
projectveritas.com,bias,unreliable,political,,,,,
proudcons.com,fake,bias,,,,,,
proudemocrat.com,political,,,,,,,
qpolitical.com,bias,clickbait,,,,,,
randpaulreview.com,unknown,,,domain name available for purchase,,,,
rawforbeauty.com,junksci,,,,,,,
rawstory.com,political,clickbait,,,,,,
rawws.com,unknown,,,site won't load for me--kg/ x2 mz,,,,
rbth.com,unknown,,,sponsored by Rossiyskaya Gazeta (a Russian Gov't daily paper),,,,
